"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"12","공연장","03_06_01_P","5330000","CDFE1230002013000001","2013-01-02","","02","휴업","02","휴업","","2025-06-16","2026-01-02","","055-645-5448","","650-150","경상남도 통영시 도남동 645-2","경상남도 통영시 큰발개2길 10 (도남동)","650-150","통영세계문화콘텐츠 공연","2025-06-16 11:01:59","U","2025-06-18 02:40:00","","331336.268137328","148303.000178552","공연장","공연장","근린상업지역","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","공연장","03_06_01_P","5330000","CDFE1230002013000002","2013-05-09","","02","휴업","02","휴업","","2025-06-16","2026-01-02","","645-2307","","650-150","경상남도 통영시 도남동 634","경상남도 통영시 도남로 269-38 (도남동)","650-150","해피킹호(1층)","2025-06-16 11:01:33","U","2025-06-18 02:40:00","","331084.304863058","148715.635193463","공연장","공연장","","2","","","","","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","공연장","03_06_01_P","5330000","CDFE1230002013000003","2013-05-09","","02","휴업","02","휴업","","2025-06-16","2026-01-02","","645-2307","","650-150","경상남도 통영시 도남동 634","경상남도 통영시 도남로 269-38 (도남동)","650-150","해피킹호(2층)","2025-06-16 11:02:20","U","2025-06-18 02:40:00","","331084.304863058","148715.635193463","공연장","공연장","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"15","공연장","03_06_01_P","5330000","CDFE1230002014000001","2014-03-31","","02","휴업","02","휴업","","2025-06-16","2026-01-02","","","","650-834","경상남도 통영시 용남면 장평리 21-1","경상남도 통영시 용남면 남해안대로 30","650-834","통영서커스","2025-06-16 11:02:45","U","2025-06-18 02:40:00","","334555.458845816","155717.048215191","공연장","공연장","주거지역","1","기타","","","광산주택","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","공연장","03_06_01_P","3000000","CDFE1230002014000010","2014-07-31","","02","휴업","02","휴업","","2022-11-01","2023-12-31","","02-946-0502","","110-522","서울특별시 종로구 명륜2가 8-9 지하1층","서울특별시 종로구 성균관로4길 48 (명륜2가, 지하1층)","110-522","대학로 아름다운 극장","2023-01-03 17:45:44","U","2023-01-05 02:40:00","","199933.543569824","453600.903598962","공연장","공연장","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"17","공연장","03_06_01_P","3000000","CDFE1230002014000017","2014-09-23","","02","휴업","02","휴업","","2023-01-02","2023-12-31","","02-6326-1333","","110-510","서울특별시 종로구 동숭동 199-33","서울특별시 종로구 이화장길 72, 2층 (동숭동)","110-510","삼형제극장","2023-01-12 14:57:28","U","2023-01-14 02:40:00","","200341.000623629","452912.172681979","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"18","공연장","03_06_01_P","3590000","CDFE1230002007000001","2007-07-03","","03","폐업","03","폐업","2015-12-04","","","","221-1943","","501-811","광주광역시 동구 대인동 7-1","광주광역시 동구 독립로 268 (대인동)","501-811","롯데시네마 광주6 (제6관)","2021-06-07 09:13:29","U","2021-06-09 02:40:00","","191913.038277945","183968.019861937","공연장","공연장","중심상업지역","18","","","","문화시설","12","6","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"19","공연장","03_06_01_P","3590000","CDFE1230002013000002","2013-05-30","","03","폐업","03","폐업","2020-03-11","","","","","","501-021","광주광역시 동구 금남로1가 15-10번지 타임빌딩 4층","광주광역시 동구 금남로 250-9 (금남로1가)","501-021","충장아트홀","2020-03-13 18:06:48","U","2020-03-15 02:40:00","","192495.519588752","183131.404657708","공연장","공연장","중심상업지역","5","기타","","","근린생활시설","5","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"20","공연장","03_06_01_P","3590000","CDFE1230002003000001","2003-02-07","","03","폐업","03","폐업","2006-06-16","","","","227-1136","","501-180","광주광역시 동구 광산동 13번지","","","남도예술회관","2006-06-21 15:30:36","I","2018-08-31 23:59:59","","","","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"21","공연장","03_06_01_P","3020000","CDFE1230002014000001","2014-02-25","","03","폐업","03","폐업","2014-07-18","","","","1666-9896","","140-170","서울특별시 용산구 동자동 45번지 센트레빌아스테리움서울 KDB생명타워 지하2층 B200호","서울특별시 용산구 한강대로 372, 지하2층 B200호 (동자동, 센트레빌아스테리움서울 KDB생명타워)","140-170","동자아트홀","2014-09-01 14:07:10","I","2018-08-31 23:59:59","","197563.069805939","449934.157783456","공연장","공연장","일반상업지역","1","","","","문화시설","0","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"22","공연장","03_06_01_P","3210000","CDFE1230002010000002","2010-12-10","","03","폐업","03","폐업","2015-03-30","","","","02-593-5600","","137-042","서울특별시 서초구 반포동 18-3번지 5층.  511, 512, 513호","서울특별시 서초구 반포대로 287 (반포동)","137-040","반포아트홀M","2015-03-30 10:36:45","I","2018-08-31 23:59:59","","200005.626362552","444680.521703344","공연장","공연장","준주거지역","5","아파트지역","","","근린생활시설","5","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"23","공연장","03_06_01_P","3210000","CDFE1230002013000002","2013-07-22","","03","폐업","03","폐업","2015-10-02","","","","02-530-5000","","137-711","서울특별시 서초구 잠원동 70-2번지","","","뉴코아 소극장","2016-02-15 17:25:17","I","2018-08-31 23:59:59","","200576.608647619","445241.8984183","공연장","공연장","일반주거지역","5","아파트지역","","","유통시설","5","3","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"24","공연장","03_06_01_P","3210000","CDFE1230002013000005","2013-10-21","","03","폐업","03","폐업","2017-01-24","","","","02-766-7667","","137-855","서울특별시 서초구 서초동 1305-2번지","서울특별시 서초구 강남대로 439, 지층 2호 (서초동)","137-855","네오 아트홀","2017-01-24 17:45:51","I","2018-08-31 23:59:59","","202173.486849488","444369.925403887","공연장","공연장","일반상업지역","18","기타","","","근린생활시설","14","4","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"25","공연장","03_06_01_P","3210000","CDFE1230002015000001","2015-11-26","","03","폐업","03","폐업","2019-06-30","","","","070-8129-7420","","","서울특별시 서초구 서초동","서울특별시 서초구 서초대로73길 30 (서초동, 서초성우빌리지)","06614","강남아트홀1관","2019-07-30 18:27:02","U","2019-08-01 02:40:00","","202130.827595569","444209.775876953","공연장","공연장","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"26","공연장","03_06_01_P","3000000","CDFE1230002007000003","2007-03-21","","03","폐업","03","폐업","2021-01-31","","","","02-743-4667","","","서울특별시 종로구 혜화동 163-24 동양예술극장","서울특별시 종로구 대학로14길 29, 동양예술극장 4층 (혜화동)","03084","동양예술극장 1관","2021-02-18 17:24:34","U","2021-02-20 02:40:00","","200136.734882861","453589.791391142","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"27","공연장","03_06_01_P","3000000","CDFE1230002007000006","2007-04-26","","03","폐업","03","폐업","2022-04-14","","","","","","110-470","서울특별시 종로구 연지동 136-25 연동교회문화복지관 지하2층","서울특별시 종로구 대학로3길 9 (연지동,연동교회문화복지관 지하2층)","","열림홀","2022-04-14 17:08:21","U","2022-04-17 02:40:00","","200041.136571835","452418.002097875","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"28","공연장","03_06_01_P","3000000","CDFE1230002007000007","2007-05-31","","03","폐업","03","폐업","2017-12-20","","","","745-5570","","110-809","서울특별시 종로구 동숭동 1-96번지 지하1층","서울특별시 종로구 대학로10길 26 (동숭동,지하1층)","","서울콘서트홀","2017-12-22 14:57:46","I","2018-08-31 23:59:59","","200259.173497292","453256.205840375","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"29","공연장","03_06_01_P","3000000","CDFE1230002007000010","2007-10-24","","03","폐업","03","폐업","2014-04-30","","","","741-6487","","110-530","서울특별시 종로구 혜화동 74-38번지","서울특별시 종로구 혜화로 10-3 (혜화동)","","소극장 모시는 사람들","2014-05-23 17:23:04","I","2018-08-31 23:59:59","","199973.586488747","453814.889330448","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"30","공연장","03_06_01_P","3000000","CDFE1230002007000011","2007-12-13","","03","폐업","03","폐업","2012-12-26","","","","747-0366","","110-111","서울특별시 종로구 관철동 33-1번지","서울특별시 종로구 삼일대로 386  (관철동)","","브레이크아웃 전용극장","2013-01-09 16:27:20","I","2018-08-31 23:59:59","","198883.495161441","451852.440739439","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"31","공연장","03_06_01_P","3000000","CDFE1230002004000005","2004-06-16","","03","폐업","03","폐업","2017-12-07","","","","741-1011","","110-809","서울특별시 종로구 동숭동 1-100번지","서울특별시 종로구 대학로8가길 111 (동숭동)","","갈갈이홀","2017-12-07 11:30:02","I","2018-08-31 23:59:59","","200241.539609902","453188.69990349","공연장","공연장","","0","","","","","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"32","공연장","03_06_01_P","3210000","CDFE1230001991000002","1991-04-30","","03","폐업","03","폐업","2021-02-19","","","","526-9681","","137-893","서울특별시 서초구 양재동 202","서울특별시 서초구 바우뫼로12길 70 (양재동)","","더케이아트홀","2021-02-19 10:45:40","U","2021-02-21 02:40:00","","202833.261653939","440511.561175378","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"33","공연장","03_06_01_P","3210000","CDFE1230001996000001","1996-05-28","","03","폐업","03","폐업","2011-01-14","","","","594-8557","","137-852","서울특별시 서초구 방배동 1823-0번지","서울특별시 서초구 동작대로 134  (방배동)","","씨네맥스 영화관(1관)","2011-01-14 10:20:47","I","2018-08-31 23:59:59","","198416.687503983","442938.69995442","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","1507.7","","0","","","","","","","0","","","","1508",
"34","공연장","03_06_01_P","3210000","CDFE1230002000000001","2000-05-10","","03","폐업","03","폐업","","","","","","","137-915","서울특별시 서초구 양재동 202-0번지 서울교육문화회관 야외수영장","서울특별시 서초구 바우뫼로12길 70 (양재동,서울교육문화회관 야외수영장)","","(주)광개토문화","2020-01-03 09:24:55","U","2020-01-05 02:40:00","","202833.261653939","440511.561175378","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"35","공연장","03_06_01_P","3210000","CDFE1230002001000001","2001-03-30","","03","폐업","03","폐업","2011-01-14","","","","","","137-852","서울특별시 서초구 방배동 1823번지","서울특별시 서초구 동작대로 134  (방배동)","","씨네맥스2","2011-01-14 10:20:02","I","2018-08-31 23:59:59","","198416.687503983","442938.69995442","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"36","공연장","03_06_01_P","3210000","CDFE1230002001000002","2001-03-30","","03","폐업","03","폐업","2011-01-14","","","","","","137-852","서울특별시 서초구 방배동 1823번지","서울특별시 서초구 동작대로 134  (방배동)","","씨네맥스3","2011-01-14 10:21:56","I","2018-08-31 23:59:59","","198416.687503983","442938.69995442","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"37","공연장","03_06_01_P","3210000","CDFE1230002004000001","2004-05-11","","03","폐업","03","폐업","2011-01-14","","","","02-514-8702","","137-855","서울특별시 서초구 서초동 1303-22번지 교보타워 A동2층","서울특별시 서초구 강남대로 465  (서초동,교보타워 A동2층)","","BLUE NOTE SEOUL(블루노트서울)","2011-01-14 10:19:04","I","2018-08-31 23:59:59","","202058.674687128","444618.16731522","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"38","공연장","03_06_01_P","3180000","CDFE1230001981000001","1981-01-22","","03","폐업","03","폐업","2002-03-08","","","","826-7631","","150-901","서울특별시 영등포구 영등포동2가 94-139번지","서울특별시 영등포구 버드나루로 30  (영등포동2가)","","명화극장","2003-04-18 15:28:10","I","2018-08-31 23:59:59","","192185.469140553","446594.018308759","공연장","공연장","근린상업지역","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"39","공연장","03_06_01_P","3000000","CDFE1230002003000008","2003-01-06","","03","폐업","03","폐업","2017-12-29","","","","741-3934","","110-524","서울특별시 종로구 명륜4가 111-2번지","서울특별시 종로구 대학로9길 18 (명륜4가)","","소극장축제","2018-02-05 14:39:43","I","2018-08-31 23:59:59","","200005.67576435","453283.293031685","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"40","공연장","03_06_01_P","3180000","CDFE1230001991000001","1991-10-14","","03","폐업","03","폐업","2021-12-15","","","","781-2280","","150-914","서울특별시 영등포구 여의도동 18-0","서울특별시 영등포구 여의공원로 13 (여의도동)","150-010","KBS홀","2021-12-14 13:29:37","U","2021-12-16 02:40:00","","192538.786642476","447017.15917925","공연장","공연장","","9","","","","","7","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"41","공연장","03_06_01_P","3180000","CDFE1230002002000001","2002-12-30","","03","폐업","03","폐업","2013-09-11","","","","831-3100","","150-820","서울특별시 영등포구 대림동 909-2번지 2층","서울특별시 영등포구 신길로 41  (대림동,2층)","","썬프라자아트홀","2013-11-06 10:09:58","I","2018-08-31 23:59:59","","191800.728214995","443809.773854649","공연장","공연장","","3","","","","","0","0","0","0","","","0","0","","0","0","","0","230","","0","","","","","","","0","","","","230",
"42","공연장","03_06_01_P","3180000","CDFE1230002009000001","2009-01-14","","03","폐업","03","폐업","2015-08-03","","","","789-5869","","150-896","서울특별시 영등포구 여의도동 60번지","서울특별시 영등포구 63로 50 (여의도동)","","63아트홀","2015-08-21 15:54:14","I","2018-08-31 23:59:59","","194632.526367463","446401.926526228","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"43","공연장","03_06_01_P","3180000","CDFE1230002009000003","2009-09-18","","03","폐업","03","폐업","2015-12-14","","","","2638-2871","","150-034","서울특별시 영등포구 영등포동4가 442번지","서울특별시 영등포구 영중로 15 (영등포동4가)","","CGV신한카드아트홀","2015-12-21 13:29:16","I","2018-08-31 23:59:59","","191385.057392247","446098.555926507","공연장","공연장","","25","","","","문화시설","20","5","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"44","공연장","03_06_01_P","3000000","CDFE1230002004000006","2004-06-18","","03","폐업","03","폐업","2007-01-24","","","","747-3066","","110-809","서울특별시 종로구 동숭동 1-150번지","서울특별시 종로구 동숭길 41  (동숭동)","","탑아트홀","2007-01-24 10:40:54","I","2018-08-31 23:59:59","","200307.47638288","453090.105614808","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"45","공연장","03_06_01_P","3000000","CDFE1230002004000008","2004-10-29","","03","폐업","03","폐업","2019-09-02","","","","744-1394","","110-809","서울특별시 종로구 동숭동 1-38번지 지층","서울특별시 종로구 동숭길 133 (동숭동,지층)","","상명아트홀1관","2019-09-02 14:05:34","U","2019-11-20 02:40:00","","200171.515871618","453449.854548299","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"46","공연장","03_06_01_P","3000000","CDFE1230002004000009","2004-12-03","","03","폐업","03","폐업","2009-06-30","","","","","","110-810","서울특별시 종로구 동숭동 187-8번지 지하1층","서울특별시 종로구 이화장길 100  (동숭동,지하1층)","","상상나눔씨어터","2009-08-10 16:46:09","I","2018-08-31 23:59:59","","200342.408788786","453056.007813751","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"47","공연장","03_06_01_P","3000000","CDFE1230002005000002","2005-08-18","","03","폐업","03","폐업","2012-12-17","","","","745-0308","","110-809","서울특별시 종로구 동숭동 1-58번지","서울특별시 종로구 대학로8가길 30  (동숭동)","","대학로우리극장","2012-12-17 17:10:22","I","2018-08-31 23:59:59","","200153.322797562","453332.518876344","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"48","공연장","03_06_01_P","3000000","CDFE1230002005000003","2005-10-10","","03","폐업","03","폐업","2018-01-02","","","","3676-0282","","110-809","서울특별시 종로구 동숭동 1번지 37 지하1층","","","신연아트홀","2018-01-02 17:19:25","I","2018-08-31 23:59:59","","","","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"49","공연장","03_06_01_P","3000000","CDFE1230002005000005","2005-11-04","","03","폐업","03","폐업","2013-10-11","","","","02-722-3995","","110-420","서울특별시 종로구 관수동 59-7번지 서울극장내 5층","","","점프전용관","2013-10-11 19:03:46","I","2018-08-31 23:59:59","","199205.329842153","451945.821955137","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"50","공연장","03_06_01_P","3000000","CDFE1230002006000004","2006-05-09","","03","폐업","03","폐업","2019-08-07","","","","6303-1919","","110-061","서울특별시 종로구 신문로1가 57번지 3층","서울특별시 종로구 새문안로 75 (신문로1가,3층)","","문호아트홀","2019-11-07 16:59:17","U","2019-11-20 02:40:00","","197542.319572426","452039.262262313","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"51","공연장","03_06_01_P","3000000","CDFE1230002006000005","2006-05-24","","03","폐업","03","폐업","2014-12-29","","","","3675-4675","","110-460","서울특별시 종로구 연건동 178-1번지 지하1층","서울특별시 종로구 대학로 60 (연건동,지하1층)","","김동수플레이하우스","2015-01-16 14:23:41","I","2018-08-31 23:59:59","","200158.82002238","452691.97984761","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"52","공연장","03_06_01_P","3000000","CDFE1230002006000006","2006-07-26","","03","폐업","03","폐업","2008-03-31","","","","","","110-809","서울특별시 종로구 동숭동 1-33번지 5층","서울특별시 종로구 대학로 128  (동숭동,5층)","","컬투홀2관감동관","2008-04-02 10:51:25","I","2018-08-31 23:59:59","","200120.54634178","453378.347646612","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"53","공연장","03_06_01_P","3000000","CDFE1230002007000001","2007-03-21","","03","폐업","03","폐업","2021-01-31","","","","02-743-4667","","","서울특별시 종로구 혜화동 163-24 동양예술극장","서울특별시 종로구 대학로14길 29, 동양예술극장 1층 (혜화동)","03084","동양예술극장 3관","2021-02-18 17:26:02","U","2021-02-20 02:40:00","","200136.734882861","453589.791391142","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"54","공연장","03_06_01_P","3000000","CDFE1230002007000002","2007-03-21","","03","폐업","03","폐업","2021-01-31","","","","02-743-4667","","","서울특별시 종로구 혜화동 163-24 동양예술극장","서울특별시 종로구 대학로14길 29, 동양예술극장 2층~3층 (혜화동)","03084","동양예술극장 2관","2021-02-18 17:25:19","U","2021-02-20 02:40:00","","200136.734882861","453589.791391142","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"55","공연장","03_06_01_P","3140000","CDFE1230002006000001","2006-07-20","","03","폐업","03","폐업","2015-12-01","","","","02-596-8838","","158-050","서울특별시 양천구 목동 914번지","서울특별시 양천구 안양천로 939 (목동)","158-051","엔젤씨어터","2015-12-01 17:05:42","I","2018-08-31 23:59:59","","189469.901305589","447591.034147017","공연장","공연장","","0","","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
